date,btc,last_timestamp
2022-02-11 00:00:00,600.0,
2022-02-11 00:00:00,0.0,
2022-02-11 00:00:00,200.0,
2022-02-11 00:00:00,200.0,
2022-02-11 00:00:00,696.0,
2022-02-11 00:00:00,341.0,
2022-02-12 00:00:00,0.0,
2022-02-12 00:00:00,85.0,
2022-02-12 00:00:00,501.0,
2022-02-12 00:00:00,1.0,
2022-02-12 00:00:00,851.0,
2022-02-12 00:00:00,0.0,
2022-02-14 00:00:00,0.0,
2022-02-14 00:00:00,843.0,
2022-02-14 00:00:00,986.0,
2022-02-15 00:00:00,0.0,
2022-02-15 00:00:00,565.0,
2022-02-15 00:00:00,0.0,
2022-02-15 00:00:00,500.0,
2022-02-15 00:00:00,540.0,
2022-02-16 00:00:00,904.0,
2022-02-16 00:00:00,500.0,
2022-02-16 00:00:00,550.0,
2022-02-16 00:00:00,550.0,
2022-02-16 00:00:00,450.0,
2022-02-16 00:00:00,0.0,
2022-02-16 00:00:00,0.0,
2022-02-17 00:00:00,501.0,
2022-02-17 00:00:00,501.0,
2022-02-17 00:00:00,501.0,
2022-02-17 00:00:00,501.0,
2022-02-17 00:00:00,2.0,
2022-02-17 00:00:00,500.0,
2022-02-17 00:00:00,522.0,
2022-02-17 00:00:00,200.0,
2022-02-17 00:00:00,490.0,
2022-02-17 00:00:00,0.0,
2022-02-17 00:00:00,499.0,
2022-02-17 00:00:00,0.0,
2022-02-17 00:00:00,594.0,
2022-02-18 00:00:00,0.0,
2022-02-18 00:00:00,557.0,
2022-02-18 00:00:00,800.0,
2022-02-18 00:00:00,500.0,
2022-02-18 00:00:00,0.0,
2022-02-18 00:00:00,700.0,
2022-02-18 00:00:00,549.0,
2022-02-18 00:00:00,772.0,
2022-02-18 00:00:00,125.0,
2022-02-18 00:00:00,400.0,
2022-02-18 00:00:00,50.0,
2022-02-21 00:00:00,85.0,
2022-02-21 00:00:00,200.0,
2022-02-21 00:00:00,610.0,
2022-02-21 00:00:00,0.0,
2022-02-21 00:00:00,823.0,
2022-02-21 00:00:00,0.0,
2022-02-21 00:00:00,0.0,
2022-02-21 00:00:00,0.0,
2022-02-21 00:00:00,745.0,
2022-02-21 00:00:00,0.0,
2022-02-21 00:00:00,0.0,
2022-02-22 00:00:00,800.0,
2022-02-22 00:00:00,909.0,
2022-02-22 00:00:00,0.0,
2022-02-22 00:00:00,211.0,
2022-02-22 00:00:00,648.0,
2022-02-22 00:00:00,770.0,
2022-02-22 00:00:00,665.0,
2022-02-22 00:00:00,550.0,
2022-02-22 00:00:00,224.0,
2022-02-23 00:00:00,500.0,
2022-02-23 00:00:00,698.0,
2022-02-23 00:00:00,553.0,
2022-02-23 00:00:00,110.0,
2022-02-23 00:00:00,0.0,
2022-02-23 00:00:00,0.0,
2022-02-24 00:00:00,0.0,
2022-02-24 00:00:00,0.0,
2022-02-24 00:00:00,281.0,
2022-02-24 00:00:00,81.0,
2022-02-24 00:00:00,416.0,
2022-02-24 00:00:00,600.0,
2022-02-24 00:00:00,239.0,
2022-02-24 00:00:00,0.0,
2022-02-24 00:00:00,239.0,
2022-02-24 00:00:00,833.0,
2022-02-24 00:00:00,651.0,
2022-02-24 00:00:00,241.0,
2022-02-24 00:00:00,0.0,
2022-02-25 00:00:00,338.0,
2022-02-25 00:00:00,0.0,
2022-02-25 00:00:00,931.0,
2022-02-25 00:00:00,935.0,
2022-02-25 00:00:00,0.0,
2022-02-25 00:00:00,0.0,
2022-02-25 00:00:00,518.0,
2022-02-25 00:00:00,880.0,
2022-02-25 00:00:00,780.0,
2022-02-25 00:00:00,518.0,
2022-02-25 00:00:00,85.0,
2022-02-25 00:00:00,0.0,
2022-02-25 00:00:00,833.0,
2022-02-25 00:00:00,435.0,
2022-02-26 00:00:00,52.0,
2022-02-26 00:00:00,1.0,
2022-02-26 00:00:00,982.0,
2022-02-27 00:00:00,826.0,
2022-02-27 00:00:00,800.0,
2022-02-28 00:00:00,552.0,
2022-02-28 00:00:00,0.0,
2022-02-28 00:00:00,847.0,
2022-02-28 00:00:00,492.0,
2022-02-28 00:00:00,500.0,
2022-02-28 00:00:00,799.0,
2022-02-28 00:00:00,500.0,
2022-02-28 00:00:00,500.0,
2022-03-01 00:00:00,500.0,
2022-03-01 00:00:00,112.0,
2022-03-01 00:00:00,485.0,
2022-03-01 00:00:00,500.0,
2022-03-01 00:00:00,730.0,
2022-03-01 00:00:00,920.0,
2022-03-01 00:00:00,500.0,
2022-03-01 00:00:00,500.0,
2022-03-01 00:00:00,267.0,
2022-03-01 00:00:00,112.0,
2022-03-01 00:00:00,500.0,
2022-03-01 00:00:00,501.0,
2022-03-01 00:00:00,0.0,
2022-03-01 00:00:00,0.0,
2022-03-01 00:00:00,789.0,
2022-03-01 00:00:00,536.0,
2022-03-01 00:00:00,556.0,
2022-03-01 00:00:00,787.0,
2022-03-01 00:00:00,888.0,
2022-03-01 00:00:00,466.0,
2022-03-02 00:00:00,630.0,
2022-03-02 00:00:00,0.0,
2022-03-02 00:00:00,794.0,
2022-03-02 00:00:00,600.0,
2022-03-02 00:00:00,800.0,
2022-03-02 00:00:00,800.0,
2022-03-02 00:00:00,501.0,
2022-03-02 00:00:00,732.0,
2022-03-02 00:00:00,733.0,
2022-03-02 00:00:00,60.0,
2022-03-02 00:00:00,166.0,
2022-03-03 00:00:00,590.0,
2022-03-03 00:00:00,500.0,
2022-03-03 00:00:00,699.0,
2022-03-03 00:00:00,722.0,
2022-03-03 00:00:00,500.0,
2022-03-03 00:00:00,550.0,
2022-03-04 00:00:00,987.0,
2022-03-04 00:00:00,880.0,
2022-03-04 00:00:00,500.0,
2022-03-04 00:00:00,0.0,
2022-03-04 00:00:00,0.0,
2022-03-04 00:00:00,578.0,
2022-03-04 00:00:00,600.0,
2022-03-04 00:00:00,0.0,
2022-03-04 00:00:00,500.0,
2022-03-04 00:00:00,563.0,
2022-03-04 00:00:00,500.0,
2022-03-04 00:00:00,100.0,
2022-03-05 00:00:00,880.0,
2022-03-07 00:00:00,407.0,
2022-03-07 00:00:00,799.0,
2022-03-07 00:00:00,818.0,
2022-03-07 00:00:00,500.0,
2022-03-07 00:00:00,797.0,
2022-03-07 00:00:00,0.0,
2022-03-07 00:00:00,840.0,
2022-03-07 00:00:00,0.0,
2022-03-07 00:00:00,197.0,
2022-03-07 00:00:00,700.0,
2022-03-07 00:00:00,684.0,
2022-03-07 00:00:00,792.0,
2022-03-08 00:00:00,888.0,
2022-03-08 00:00:00,322.0,
2022-03-08 00:00:00,528.0,
2022-03-08 00:00:00,0.0,
2022-03-08 00:00:00,535.0,
2022-03-08 00:00:00,650.0,
2022-03-08 00:00:00,600.0,
2022-03-09 00:00:00,750.0,
2022-03-09 00:00:00,500.0,
2022-03-09 00:00:00,112.0,
2022-03-09 00:00:00,31.0,
2022-03-09 00:00:00,510.0,
2022-03-09 00:00:00,0.0,
2022-03-09 00:00:00,652.0,
2022-03-09 00:00:00,730.0,
2022-03-09 00:00:00,769.0,
2022-03-09 00:00:00,0.0,
2022-03-09 00:00:00,995.0,
2022-03-09 00:00:00,520.0,
2022-03-10 00:00:00,489.0,
2022-03-10 00:00:00,630.0,
